ens,urus,us,endus
re,isse,urus esse,ri,us esse
o,ebam,am,i,eram,ero,or,ebar,ar,us sum,us eram,us ero
s,ebas,es,isti,eras,eris,ris,ebaris,eris,us es,us eras,us eris
it,ebat,et,it,erat,erit,itur,ebatur,etur,us est,us erat,us erit
imus,ebamus,emus,imus,eramus,erimus,imur,ebamur,emur,i sumus,i eramus,i erimus,
tis,ebatis,etis,istis,eratis,eritis,imini,ebamini,emini,i estis,i eratis,i eritis
unt,ebant,ent,erunt,erant,erint,untur,ebantur,entur,i sunt,i erant,i erunt
am,rem,erim,issem,ar,rer,us sim,us essem
as,res,eris,isses,aris,reris,us sis,us esses
at,ret,erit,isset,atur,retur,us sit,us esset
amus,remus,erimus,issemus,amur,remur,i simus,i essemus
atis,retis,eritis,issetis,amini,remini,i sitis,i essetis
ant,rent,erint,issent,antur,rentur,i sint,i essent
,te,re,imini
