gpp,going to v,pap,going to be pap
to v,to have pap,to be going to v,to be pap,to have been pap
I am gpp,I was gpp,I will v,I pt,I had pap,I will have pap,I am pap,I was pap,I will be pap,I was pap,I had been pap,I will have been pap
you are gpp,you were gpp,you will v,you pt,you had pap,you will have pap,you are pap,you were pap,you will be pap,you were pap,you had been pap,you will have been pap
he is gpp,he was gpp,he will v,he pt,he had pap,he will have pap,he is pap,he was pap,he will be pap,he was pap,he had been pap,he will have been pap
we are gpp,we were gpp,we will v,we pt,we had pap,we will have pap,we are pap,we were pap,we will be pap,we were pap,we had been pap,we will have been pap
you all are gpp,you all were gpp,you all will v,you all pt,you all had pap,you all will have pap,you all are pap,you all were pap,you all will be pap,you all were pap,you all had been pap,you all will have been pap
they are gpp,they were gpp,they will v,they pt,they had pap,they will have pap,they are pap,they were pap,they will be pap,they were pap,they had been pap,they will have been pap
v,be pap
