ens,urus,us,endus
ere,isse,urus esse,i,us esse
o,ebam,am,i,eram,ero,or,ebar,ar,us sum,us eram,us ero
is,ebas,es,isti,eras,eris,eris,ebaris,eris,us es,us eras,us eris
it,ebat,et,it,erat,erit,itur,ebatur,etur,us est,us erat,us erit
imus,ebamus,emus,imus,eramus,erimus,imur,ebamur,emur,i sumus,i eramus,i erimus,
itis,ebatis,etis,istis,eratis,eritis,imini,ebamini,emini,i estis,i eratis,i eritis
unt,ebant,ent,erunt,erant,erint,untur,ebantur,entur,i sunt,i erant,i erunt
am,erem,erim,issem,ar,erer,us sim,us essem
as,eres,eris,isses,aris,ereris,us sis,us esses
at,eret,erit,isset,atur,eretur,us sit,us esset
amus,eremus,erimus,issemus,amur,eremur,i simus,i essemus
atis,eretis,eritis,issetis,amini,eremini,i sitis,i essetis
ant,erent,erint,issent,antur,erentur,i sint,i essent
e,ite,ere,imini
